Building,City,Country,Height,Floors,Year
Burj Khalifa,Dubai,United Arab Emirates,2717,163,2010
Shanghai Tower,Shanghai,China,2073,128,2015
Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,1971,120,2012
Ping An Finance Center,Shenzhen,China,1965,115,2017
Lotte World Tower,Seoul,South Korea,1819,123,2016
One World Trade Center,New York City,United States,1776,104,2014
Guangzhou CTF Finance Center,Guangzhou,China,1739,111,2016
Tianjin CTF Finance Center,Tianjin,China,1739,98,2018
China Zun,Beijing,China,1732,108,2018
Taipei 101,Taipei,Taiwan,1667,101,2004
Shanghai World Financial Center,Shanghai,China,1614,101,2008
International Commerce Centre,Hong Kong,China,1588,118,2010
Central Park Tower,New York City,United States,1550,98,2020
Lakhta Center,Saint Petersburg,Russia,1516,86,2018
Landmark 81,Ho Chi Minh City,Vietnam,1513,81,2018
Changsha IFS Tower T1,Changsha,China,1483,88,2017
Petronas Tower 1,Kuala Lumpur,Malaysia,1483,88,1998
Petronas Tower 2,Kuala Lumpur,Malaysia,1483,88,1998
Zifeng Tower,Nanjing,China,1476,89,2010
Suzhou IFS,Suzhou,China,1476,92,2017
The Exchange 106,Kuala Lumpur,Malaysia,1460,97,2018
Willis Tower,Chicago,United States,1450,108,1974
KK100,Shenzhen,China,1449,100,2011
Guangzhou International Finance Center,Guangzhou,China,1440,103,2010
Wuhan Center,Wuhan,China,1437,88,2016
111 West 57th Street,New York City,United States,1428,82,2019
One Vanderbilt,New York City,United States,1401,67,2020
Dongguan International Trade Center 1,Dongguan,China,1401,88,2019
432 Park Avenue,New York City,United States,1396,88,2015
Marina 101,Dubai,United Arab Emirates,1394,101,2015
Trump International Hotel and Tower,Chicago,United States,1388,98,2009
Jin Mao Tower,Shanghai,China,1380,88,1999
Princess Tower,Dubai,United Arab Emirates,1358,101,2012
Al Hamra Tower,Kuwait City,Kuwait,1354,80,2011
International Finance Centre,Hong Kong,China,1352,88,2003
Haeundae LCT The Sharp Landmark Tower,Busan,South Korea,1352,101,2019
Nanning China Resources Tower,Nanning,China,1321,85,2018
Guiyang Financial Center Tower 1[14],Guiyang,China,1316,79,2021
China Resources Headquarters,Shenzhen,China,1288,67,2017
23 Marina,Dubai,United Arab Emirates,1287,89,2012
CITIC Plaza,Guangzhou,China,1280,80,1996
Shum Yip Upperhills Tower 1,Shenzhen,China,1273,80,2017
30 Hudson Yards,New York City,United States,1268,73,2018
Capital Market Authority Headquarters,Riyadh,Saudi Arabia,1263,77,2016
Shun Hing Square,Shenzhen,China,1260,69,1996
Eton Place Dalian Tower 1,Dalian,China,1257,81,2015
Logan Century Center 1,Nanning,China,1251,82,2017
Burj Mohammed bin Rashid,Abu Dhabi,United Arab Emirates,1251,88,2014
Empire State Building,New York City,United States,1250,102,1931
Elite Residence,Dubai,United Arab Emirates,1248,87,2012
Shenzhen Center,Shenzhen,China,1232,80,2019
Central Plaza,Hong Kong,China,1226,78,1992
Federation Tower (East Tower),Moscow,Russia,1226,95,2016
Dalian International Trade Center,Dalian,China,1214,86,2018
Address Boulevard,Dubai,United Arab Emirates,1214,72,2017
Haitian Center Tower 2 [15],Qingdao,China,1211,72,2020
Golden Eagle Tiandi Tower A,Nanjing,China,1208,76,2018
Bank of China Tower,Hong Kong,China,1205,70,1990
Bank of America Tower,New York City,United States,1200,56,2009
Vista Tower,Chicago,United States,1191,101,2019
Almas Tower,Dubai,United Arab Emirates,1181,68,2009
Hanking Center,Shenzhen,China,1177,65,2017
Gevora Hotel,Dubai,United Arab Emirates,1169,75,2012
JW Marriott Marquis Dubai Tower 1,Dubai,United Arab Emirates,1166,82,2012
JW Marriott Marquis Dubai Tower 2,Dubai,United Arab Emirates,1166,82,2012
Emirates Office Tower,Dubai,United Arab Emirates,1163,54,2000
Raffles City Chongqing T3N,Chongqing,China,1163,79,2018
Raffles City Chongqing T4N,Chongqing,China,1163,79,2019
OKO Tower - South Tower,Moscow,Russia,1160,85,2015
The Marina Torch,Dubai,United Arab Emirates,1155,86,2011
Forum 66 Tower 1,Shenyang,China,1150,68,2015
The Pinnacle,Guangzhou,China,1149,60,2012
Xi An Glory International Financial Center,Xi'an,China,1148,75,2017
