Sort,State_Abbreviation,State,FIPS,County,Population_2010,Land_Area_KM_Squared,Land_Area_MI_Squared,Water_Area_KM_Squared,Water_Area_MI_Squared,Total_Area_KM_Squared,Total_Area_MI_Squared,Latitude,Longitude
1,AL,ALABAMA,1001,Autauga,54571.00,1539.58,594.44,25.78,9.95,1565.36,604.39,32.54,-86.64
2,AL,ALABAMA,1003,Baldwin,182265.00,4117.52,1589.78,1133.19,437.53,5250.71,2027.31,30.66,-87.75
3,AL,ALABAMA,1005,Barbour,27457.00,2291.82,884.88,50.87,19.64,2342.68,904.52,31.87,-85.41
4,AL,ALABAMA,1007,Bibb,22915.00,1612.48,622.58,9.29,3.59,1621.77,626.17,33.02,-87.13
5,AL,ALABAMA,1009,Blount,57322.00,1669.96,644.78,15.16,5.85,1685.12,650.63,33.98,-86.57
6,AL,ALABAMA,1011,Bullock,10914.00,1613.06,622.81,6.06,2.34,1619.11,625.14,32.10,-85.72
7,AL,ALABAMA,1013,Butler,20947.00,2011.98,776.83,2.73,1.05,2014.70,777.88,31.75,-86.68
8,AL,ALABAMA,1015,Calhoun,118572.00,1569.19,605.87,16.62,6.42,1585.81,612.29,33.77,-85.82
9,AL,ALABAMA,1017,Chambers,34215.00,1545.01,596.53,17.05,6.58,1562.06,603.11,32.92,-85.39
10,AL,ALABAMA,1019,Cherokee,25989.00,1434.08,553.70,119.86,46.28,1553.94,599.98,34.07,-85.65
11,AL,ALABAMA,1021,Chilton,43643.00,1794.48,692.85,20.59,7.95,1815.07,700.80,32.85,-86.73
12,AL,ALABAMA,1023,Choctaw,13859.00,2365.96,913.50,19.06,7.36,2385.01,920.86,31.99,-88.25
13,AL,ALABAMA,1025,Clarke,25833.00,3207.61,1238.47,36.54,14.11,3244.15,1252.57,31.69,-87.82
14,AL,ALABAMA,1027,Clay,13932.00,1564.25,603.96,5.29,2.04,1569.54,606.00,33.27,-85.86
15,AL,ALABAMA,1029,Cleburne,14972.00,1450.65,560.10,2.37,0.91,1453.02,561.01,33.67,-85.52
16,AL,ALABAMA,1031,Coffee,49948.00,1758.53,678.97,3.95,1.52,1762.47,680.50,31.40,-85.99
17,AL,ALABAMA,1033,Colbert,54428.00,1534.88,592.62,76.43,29.51,1611.31,622.13,34.70,-87.80
18,AL,ALABAMA,1035,Conecuh,13228.00,2201.90,850.16,6.65,2.57,2208.54,852.72,31.43,-86.99
19,AL,ALABAMA,1037,Coosa,11539.00,1685.89,650.93,39.95,15.42,1725.84,666.35,32.93,-86.24
20,AL,ALABAMA,1039,Covington,37765.00,2668.87,1030.46,34.53,13.33,2703.40,1043.79,31.24,-86.45
21,AL,ALABAMA,1041,Crenshaw,13906.00,1576.89,608.84,5.38,2.08,1582.26,610.92,31.73,-86.32
22,AL,ALABAMA,1043,Cullman,80406.00,1903.23,734.84,52.27,20.18,1955.50,755.02,34.13,-86.87
23,AL,ALABAMA,1045,Dale,50251.00,1453.37,561.15,4.02,1.55,1457.39,562.70,31.43,-85.61
24,AL,ALABAMA,1047,Dallas,43820.00,2534.81,978.70,39.14,15.11,2573.94,993.81,32.33,-87.11
25,AL,ALABAMA,1049,DeKalb,71109.00,2012.66,777.09,4.12,1.59,2016.79,778.69,34.46,-85.80
26,AL,ALABAMA,1051,Elmore,79303.00,1601.87,618.49,99.86,38.56,1701.73,657.04,32.60,-86.14
27,AL,ALABAMA,1053,Escambia,38319.00,2447.75,945.08,20.87,8.06,2468.62,953.14,31.12,-87.17
28,AL,ALABAMA,1055,Etowah,104430.00,1385.62,534.99,35.32,13.64,1420.94,548.63,34.05,-86.03
29,AL,ALABAMA,1057,Fayette,17241.00,1625.63,627.66,4.39,1.70,1630.02,629.36,33.73,-87.75
30,AL,ALABAMA,1059,Franklin,31704.00,1641.59,633.82,32.90,12.70,1674.49,646.52,34.44,-87.84
31,AL,ALABAMA,1061,Geneva,26790.00,1487.71,574.41,11.77,4.54,1499.48,578.95,31.09,-85.82
32,AL,ALABAMA,1063,Greene,9045.00,1676.01,647.11,33.23,12.83,1709.24,659.94,32.84,-87.96
33,AL,ALABAMA,1065,Hale,15760.00,1667.80,643.94,32.53,12.56,1700.33,656.50,32.75,-87.62
