City,State,2018_Population_Est,latitude,longitude
New York,New York,8398748,40.6635,-73.9387
Los Angeles,California,3990456,34.0194,-118.4108
Chicago,Illinois,2705994,41.8376,-87.6818
Houston,Texas,2325502,29.7866,-95.3909
Phoenix,Arizona,1660272,33.5722,-112.0901
Philadelphia,Pennsylvania,1584138,40.0094,-75.1333
San Antonio,Texas,1532233,29.4724,-98.5251
San Diego,California,1425976,32.8153,-117.1350
Dallas,Texas,1345047,32.7933,-96.7665
San Jose,California,1030119,37.2967,-121.8189
Austin,Texas,964254,30.3039,-97.7544
Jacksonville,Florida,903889,30.3369,-81.6616
Fort Worth,Texas,895008,32.7815,-97.3467
Columbus,Ohio,892533,39.9852,-82.9848
San Francisco,California,883305,37.7272,-123.0322
Charlotte,North Carolina,872498,35.2078,-80.8310
Indianapolis,Indiana,867125,39.7767,-86.1459
Seattle,Washington,744955,47.6205,-122.3509
Denver,Colorado,716492,39.7619,-104.8811
Washington,District of Columbia,702455,38.9041,-77.0172
Boston,Massachusetts,694583,42.3320,-71.0202
El Paso,Texas,682669,31.8484,-106.4270
Detroit,Michigan,672662,42.3830,-83.1022
Nashville,Tennessee,669053,36.1718,-86.7850
Portland,Oregon,653115,45.5370,-122.6500
Memphis,Tennessee,650618,35.1028,-89.9774
Oklahoma City,Oklahoma,649021,35.4671,-97.5137
Las Vegas,Nevada,644644,36.2292,-115.2601
Louisville,Kentucky,620118,38.1654,-85.6474
Baltimore,Maryland,602495,39.3000,-76.6105
Milwaukee,Wisconsin,592025,43.0633,-87.9667
Albuquerque,New Mexico,560218,35.1056,-106.6474
Tucson,Arizona,545975,32.1531,-110.8706
Fresno,California,530093,36.7836,-119.7934
Mesa,Arizona,508958,33.4019,-111.7174
Sacramento,California,508529,38.5666,-121.4686
Atlanta,Georgia,498044,33.7629,-84.4227
Kansas City,Missouri,491918,39.1251,-94.5510
Colorado Springs,Colorado,472688,38.8673,-104.7607
Miami,Florida,470914,25.7752,-80.2086
Raleigh,North Carolina,469298,35.8306,-78.6418
Omaha,Nebraska,468262,41.2644,-96.0451
Long Beach,California,467354,33.8092,-118.1553
